;age;job;marital;education;default;balance;housing;loan;contact;day;month;duration;campaign;pdays;previous;poutcome;target;post_campaign_action
0;30;unemployed;married;primary;no;1787.0;no;no;cellular;19;oct;79;1;-1;0;unknown;no;0
1;33;services;married;secondary;no;4789.0;yes;yes;cellular;11;may;220;1;339;4;failure;no;0
2;35;management;single;tertiary;no;1350.0;yes;no;cellular;16;apr;185;1;330;1;failure;no;0
3;30;management;married;tertiary;no;1476.0;yes;yes;unknown;3;jun;199;4;-1;0;unknown;no;0
4;59;blue-collar;married;secondary;no;0.0;yes;no;unknown;5;may;226;1;-1;0;unknown;no;0
5;35;management;single;tertiary;no;747.0;no;no;cellular;23;feb;141;2;176;3;failure;no;1
6;36;self-employed;married;tertiary;no;307.0;yes;no;cellular;14;may;341;1;330;2;other;no;1
7;39;technician;married;secondary;no;147.0;yes;no;cellular;6;may;151;2;-1;0;unknown;no;1
8;41;entrepreneur;married;tertiary;no;221.0;yes;no;unknown;14;may;57;2;-1;0;unknown;no;0
9;43;services;married;primary;no;-88.0;yes;yes;cellular;17;apr;313;1;147;2;failure;no;0
10;39;services;married;secondary;no;9374.0;yes;no;unknown;20;may;273;1;-1;0;unknown;no;0
11;43;admin.;married;secondary;no;264.0;yes;no;cellular;17;apr;113;2;-1;0;unknown;no;0
12;36;technician;married;tertiary;no;1109.0;no;no;cellular;13;aug;328;2;-1;0;unknown;no;0
13;20;student;single;secondary;no;502.0;no;no;cellular;30;apr;261;1;-1;0;unknown;yes;1
14;31;blue-collar;married;secondary;no;360.0;yes;yes;unknown;29;jan;89;1;241;1;failure;no;0
15;40;management;married;tertiary;no;194.0;no;yes;cellular;29;aug;189;2;-1;0;unknown;no;0
16;56;technician;married;secondary;no;4073.0;no;no;cellular;27;aug;239;5;-1;0;unknown;no;1
17;37;admin.;single;tertiary;no;2317.0;yes;no;unknown;20;apr;114;1;152;2;failure;no;1
18;25;blue-collar;single;primary;no;-221.0;yes;no;unknown;23;may;250;1;-1;0;unknown;no;1
19;31;services;married;secondary;no;132.0;no;no;cellular;7;jul;148;1;152;1;unknown;no;1
20;38;management;divorced;unknown;no;0.0;yes;no;cellular;18;nov;96;2;-1;0;unknown;no;1
21;42;management;divorced;tertiary;no;16.0;no;no;;19;nov;140;3;-1;0;unknown;no;1
22;44;services;single;secondary;no;106.0;no;no;unknown;12;jun;109;2;-1;0;unknown;no;1
23;44;entrepreneur;married;secondary;no;93.0;no;no;cellular;7;jul;125;2;-1;0;unknown;no;0
24;26;housemaid;married;tertiary;no;543.0;no;no;;30;jan;169;3;-1;0;unknown;no;0
25;41;management;married;tertiary;no;5883.0;no;no;cellular;20;nov;182;2;-1;0;unknown;no;1
26;55;blue-collar;married;primary;no;627.0;yes;no;unknown;5;may;247;1;-1;0;unknown;no;0
27;67;retired;married;unknown;no;696.0;no;no;telephone;17;aug;119;1;105;2;failure;no;0
28;56;self-employed;married;secondary;no;;no;yes;cellular;30;jul;149;2;-1;0;unknown;no;1
29;53;admin.;married;secondary;no;105.0;no;yes;cellular;21;aug;74;2;-1;0;unknown;no;0
30;68;retired;divorced;secondary;no;4189.0;no;no;telephone;14;jul;897;2;-1;0;unknown;yes;0
31;31;technician;married;secondary;no;;no;no;cellular;27;aug;81;3;-1;0;unknown;no;0
32;59;management;married;secondary;no;42.0;no;no;cellular;21;nov;40;1;-1;0;unknown;no;1
33;32;management;single;tertiary;no;2536.0;yes;no;cellular;26;aug;958;6;-1;0;unknown;yes;1
34;49;technician;married;tertiary;no;1235.0;no;no;cellular;13;aug;354;3;-1;0;unknown;yes;0
35;42;admin.;divorced;secondary;no;1811.0;yes;no;unknown;14;may;150;1;-1;0;unknown;no;1
36;78;retired;divorced;primary;no;229.0;no;no;telephone;22;oct;97;1;-1;0;unknown;yes;1
37;32;blue-collar;married;secondary;no;2089.0;yes;no;cellular;14;nov;132;1;-1;0;unknown;yes;1
38;33;management;married;secondary;no;3935.0;yes;no;cellular;6;may;765;1;342;2;failure;yes;1
39;23;services;single;tertiary;no;363.0;yes;no;unknown;30;may;16;18;-1;0;unknown;no;0
40;38;management;single;tertiary;no;11971.0;yes;no;unknown;17;nov;609;2;101;3;failure;no;0
41;36;management;single;tertiary;no;553.0;no;no;cellular;11;aug;106;2;-1;0;unknown;no;1
42;52;blue-collar;married;secondary;no;1117.0;yes;no;cellular;13;may;365;1;-1;0;unknown;no;0
43;32;technician;married;tertiary;no;396.0;yes;no;cellular;13;may;205;3;-1;0;unknown;no;1
44;32;technician;single;;no;2204.0;yes;no;cellular;21;nov;11;4;-1;0;unknown;no;0
45;34;management;single;tertiary;no;872.0;yes;no;unknown;7;may;105;2;-1;0;unknown;no;1
46;55;blue-collar;married;primary;no;145.0;no;no;telephone;2;feb;59;3;5;2;other;no;1
47;26;blue-collar;married;primary;no;0.0;yes;no;unknown;21;may;425;1;-1;0;unknown;no;1
48;32;unknown;single;primary;yes;-849.0;yes;yes;cellular;4;feb;204;1;-1;0;unknown;no;0
49;61;admin.;married;unknown;no;4629.0;yes;no;cellular;27;jan;181;1;92;1;success;yes;1
50;45;blue-collar;divorced;primary;no;844.0;no;no;unknown;5;jun;1018;3;-1;0;unknown;yes;1
51;37;technician;single;secondary;no;228.0;yes;no;cellular;20;aug;1740;2;-1;0;unknown;no;0
52;38;technician;single;secondary;no;50.0;no;no;cellular;29;aug;98;2;-1;0;unknown;no;0
53;34;technician;married;tertiary;no;1539.0;yes;no;cellular;15;jun;441;1;56;1;other;yes;1
54;53;blue-collar;married;secondary;no;2231.0;yes;no;;14;jul;272;3;-1;0;unknown;no;0
55;48;admin.;married;secondary;no;3064.0;yes;no;unknown;15;jul;159;2;-1;0;unknown;no;1
56;57;management;married;secondary;no;82.0;no;yes;telephone;4;feb;140;1;-1;0;unknown;no;1
57;33;self-employed;single;tertiary;no;2155.0;no;no;cellular;17;nov;295;1;-1;0;unknown;no;0
58;36;retired;single;secondary;no;101.0;yes;yes;unknown;26;may;314;1;-1;0;unknown;no;1
59;54;technician;divorced;secondary;no;784.0;yes;yes;unknown;15;may;579;1;-1;0;unknown;no;0
